step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
240.0,45,17,643.0,163.67281141156607,14.28888888888889,3.5617923982030915,0.10608796739564652,3.6371735869236903,144369.3762274879,1023.3004958247328,46048.52231211298,0.2003287931258109,0.24773765258849598,0.11518295331633727,3,18.0,0.2172244210145142,-0.004613023681498005,8,617.0,0.2172244210145142,-0.004613023681498005,3,104.0,0.2172244210145142,-0.004613023681498005,3,15.0,0.2172244210145142,-0.004613023681498005,17,754.0,76.66617815672647
245.0,48,23,731.0,79.20352975620365,15.229166666666666,4.6947862284867155,0.03815924344466864,1.6500735365875752,131108.8863110425,871.2324360290819,41819.15692939593,0.21757174936976242,0.2329846344039692,0.15593643233839835,3,31.0,0.2882282746030529,-0.10363807577448199,12,641.0,0.2882282746030529,-0.10363807577448199,2,94.0,0.2882282746030529,-0.10363807577448199,6,37.0,0.2882282746030529,-0.10363807577448199,23,803.0,2.4729425275431858
250.0,46,13,575.0,62.06925989646477,12.5,4.628944999233203,0.032104443067158074,1.349331736879669,106428.16760483762,737.9775163897392,33946.965753927994,0.19630423227876329,0.20603963446607207,0.0861581643372538,3,46.0,0.3625949771515576,0.09014071370896845,8,597.0,0.3625949771515576,0.09014071370896845,1,11.0,0.3625949771515576,0.09014071370896845,1,38.0,0.3625949771515576,0.09014071370896845,13,692.0,44.59566742851823
255.0,43,13,609.0,142.58740550513104,14.162790697674419,4.559602691681965,0.18808880144322068,3.3159861745379313,126628.72392970997,939.3001099798072,40389.90472913171,0.18724636893836086,0.18605031159713567,0.09032381291574958,3,61.0,0.29247547213194636,0.03702648822424581,8,592.0,0.29247547213194636,0.03702648822424581,0,2.0,0.29247547213194636,0.03702648822424581,2,21.0,0.29247547213194636,0.03702648822424581,13,676.0,71.57035121248717
260.0,43,13,606.0,134.27003719836526,14.093023255813954,5.540024232395486,0.12237874963761047,3.122559004613146,130822.67751696317,970.4029899031874,41727.32856583706,0.19457131507843953,0.19967496971157303,0.09154580060284002,1,50.0,0.46932076649880083,-0.022245570442402947,10,629.0,0.46932076649880083,-0.022245570442402947,0,2.0,0.46932076649880083,-0.022245570442402947,2,24.0,0.46932076649880083,-0.022245570442402947,13,705.0,49.606363876296726
265.0,41,14,668.0,52.42320374667003,16.29268292682927,5.708110657000001,-0.03950539052670717,1.2786147255285374,100637.25079659972,782.9182320047914,32099.647512196447,0.19571816185428056,0.21361225798917835,0.09812089190267924,0,4.0,0.4496968011775281,0.06273831377156044,10,681.0,0.4496968011775281,0.06273831377156044,2,8.0,0.4496968011775281,0.06273831377156044,2,32.0,0.4496968011775281,0.06273831377156044,14,725.0,22.1691052334815
270.0,40,14,726.0,30.874115458566234,18.15,4.8402813769420945,-0.20789630354294855,0.7718528864641558,99140.70996169599,790.5629416304225,31622.5176652169,0.18487698452916246,0.22786542333548834,0.09901207996401055,0,0.0,0.48176703450988373,-0.3180067796127721,11,733.0,0.48176703450988373,-0.3180067796127721,1,14.0,0.48176703450988373,-0.3180067796127721,2,42.0,0.48176703450988373,-0.3180067796127721,14,789.0,2.800315294116137
275.0,38,19,799.0,36.31828141882799,21.026315789473685,3.6220325448637274,-0.09901852398289561,0.9557442478638946,91401.39445895086,767.2130413549539,29154.095571488244,0.18570998859981183,0.22277154886597136,0.1333722782972705,1,2.0,0.385373709233754,-0.2583537538100227,14,801.0,0.385373709233754,-0.2583537538100227,3,26.0,0.385373709233754,-0.2583537538100227,1,32.0,0.385373709233754,-0.2583537538100227,19,861.0,1.0300868363153466
280.0,38,20,813.0,54.92324672790176,21.394736842105264,3.474732562425194,0.11579616123845934,1.4453485981026781,97862.52165368825,821.4470073715588,31214.986280119236,0.19035123777074373,0.2154038574759559,0.13915472452264208,2,11.0,0.2311065606557507,-0.11001514017608607,13,837.0,0.2311065606557507,-0.11001514017608607,3,35.0,0.2311065606557507,-0.11001514017608607,2,41.0,0.2311065606557507,-0.11001514017608607,20,924.0,13.549576625224438
285.0,41,15,304.0,23.77588702341429,7.414634146341464,4.241604211851807,0.039970530263715255,0.5798996834979095,99603.10934729312,774.8814255863197,31770.138449039103,0.18846288936436703,0.1941906438900913,0.09946456714912992,5,29.0,0.2408952891374526,0.17653019597979994,6,646.0,0.2408952891374526,0.17653019597979994,2,35.0,0.2408952891374526,0.17653019597979994,2,51.0,0.2408952891374526,0.17653019597979994,15,761.0,19.386205835199835
